market,instrument,base_asset,status
binance,NEIRO-EUR,NEIROEUR,ACTIVE
binance,POL-BRL,POLBRL,ACTIVE
binance,ARKM-USDC,ARKMUSDC,ACTIVE
binance,TLM-USDC,TLMUSDC,ACTIVE
binance,TROY-USDC,TROYUSDC,ACTIVE
binance,ORCA-USDT,ORCAUSDT,ACTIVE
binance,NEIRO-FDUSD,NEIROFDUSD,ACTIVE
binance,COOKIE-USDT,COOKIEUSDT,ACTIVE
binance,PEOPLE-FDUSD,PEOPLEFDUSD,ACTIVE
binance,BB-BNB,BBBNB,ACTIVE
binance,USUAL-USDT,USUALUSDT,ACTIVE
binance,CATI-FDUSD,CATIFDUSD,ACTIVE
binance,BERA-FDUSD,BERAFDUSD,ACTIVE
binance,RSR-FDUSD,RSRFDUSD,ACTIVE
binance,SAGA-USDT,SAGAUSDT,ACTIVE
binance,POL-FDUSD,POLFDUSD,ACTIVE
binance,EURI-ETH,ETHEURI,ACTIVE
binance,RARE-USDC,RAREUSDC,ACTIVE
binance,CHZ-USDC,CHZUSDC,ACTIVE
binance,TNSR-FDUSD,TNSRFDUSD,ACTIVE
binance,TON-TRY,TONTRY,ACTIVE
binance,CGPT-USDC,CGPTUSDC,ACTIVE
binance,THE-USDT,THEUSDT,ACTIVE
binance,D-TRY,DTRY,ACTIVE
