market,instrument,base_asset,quote_asset,time,open,high,low,close,total_trades,total_trades_buy,total_trades_sell,volume,quote_volume,volume_buy,quote_volume_buy,volume_sell,quote_volume_sell
binance,BTC-USDT,BTC,USDT,2025-01-08 18:00:00,94030.82,95106.33,93753.99,94242.61,348940,192053,156887,2090.92444,197369848.498677,1034.57954,97674265.4671036,1056.3449,99695583.0317471
binance,BTC-USDT,BTC,USDT,2025-01-08 19:00:00,94242.61,94859.54,94053.82,94243.89,288825,130445,158380,1331.27114,125700679.844551,612.97646,57874502.6558704,718.29468,67826177.1887359
binance,BTC-USDT,BTC,USDT,2025-01-08 20:00:00,94243.89,94404.0,93755.48,93980.0,196795,89393,107402,1050.42711,98770477.9090394,521.6126,49048809.1253463,528.81451,49721668.7836931
binance,BTC-USDT,BTC,USDT,2025-01-08 21:00:00,93980.0,94596.0,93600.0,94468.97,180681,90804,89877,953.6077,89786906.5124706,456.70989,43011462.8857399,496.89781,46775443.6267307
binance,BTC-USDT,BTC,USDT,2025-01-08 22:00:00,94468.97,95290.99,94460.86,95290.93,121971,74649,47322,743.64746,70569758.4818754,418.89374,39751752.3076078,324.75372,30818006.1742676
binance,BTC-USDT,BTC,USDT,2025-01-08 23:00:00,95290.93,95310.94,94900.0,95060.61,97039,48748,48291,577.31311,54884443.5801725,285.78753,27169614.5420991,291.52558,27714829.0380734
binance,BTC-USDT,BTC,USDT,2025-01-09 00:00:00,95060.61,95150.0,94809.07,95135.3,119835,54981,64854,552.16219,52439346.5284008,242.72189,23053503.27599,309.4403,29385843.2524108
binance,BTC-USDT,BTC,USDT,2025-01-09 01:00:00,95135.3,95382.32,94966.66,94983.82,97760,51878,45882,596.76178,56793944.5047186,307.57748,29273636.4237548,289.1843,27520308.0809638
binance,BTC-USDT,BTC,USDT,2025-01-09 02:00:00,94983.82,95030.31,93422.89,94776.99,324609,152146,172463,3219.21675,303347894.381485,1417.72781,133587794.892774,1801.48894,169760099.488733
binance,BTC-USDT,BTC,USDT,2025-01-09 03:00:00,94776.99,94800.69,94017.93,94027.9,126635,56319,70316,1051.54436,99215951.9565119,494.44031,46657190.2972428,557.10405,52558761.6592691
binance,BTC-USDT,BTC,USDT,2025-01-09 04:00:00,94027.9,94487.74,93796.99,94424.24,101808,56837,44971,686.14805,64576443.4168732,316.7297,29813505.3121265,369.41835,34762938.1047467
binance,BTC-USDT,BTC,USDT,2025-01-09 05:00:00,94424.24,94566.64,94280.65,94472.58,53290,27187,26103,347.93364,32849422.8814497,162.65799,15357070.5396002,185.27565,17492352.3418495
binance,BTC-USDT,BTC,USDT,2025-01-09 06:00:00,94472.58,94618.63,94048.07,94095.03,89933,35950,53983,515.64221,48644552.5468322,187.91446,17728600.1129845,327.72775,30915952.4338477
binance,BTC-USDT,BTC,USDT,2025-01-09 07:00:00,94095.03,94299.22,93186.38,93221.59,175059,79882,95177,1274.59624,119351352.142509,499.28374,46751307.3282886,775.3125,72600044.8142609
binance,BTC-USDT,BTC,USDT,2025-01-09 08:00:00,93221.59,93400.98,92750.0,93030.87,249829,126347,123482,1897.18886,176522062.845557,811.412,75513804.3321923,1085.77686,101008258.514141
binance,BTC-USDT,BTC,USDT,2025-01-09 09:00:00,93030.87,93787.75,92970.96,93516.62,156253,82278,73975,1012.10325,94609950.5084181,566.77612,52980290.1474284,445.32713,41629660.3609897
binance,BTC-USDT,BTC,USDT,2025-01-09 10:00:00,93516.62,93660.0,93016.55,93462.43,155210,66545,88665,958.29861,89426648.5649964,391.01885,36499003.9020359,567.27976,52927644.6629605
binance,BTC-USDT,BTC,USDT,2025-01-09 11:00:00,93462.43,93877.46,93224.0,93465.23,244340,113954,130386,706.7959,66118544.5901517,315.25894,29491572.3436599,391.53696,36626972.2464918
binance,BTC-USDT,BTC,USDT,2025-01-09 12:00:00,93465.23,93696.97,93155.25,93421.94,239193,110586,128607,710.38168,66398759.7105517,322.53419,30153287.7677252,387.84749,36245471.9428265
binance,BTC-USDT,BTC,USDT,2025-01-09 13:00:00,93421.94,93486.19,91900.12,91986.42,361626,145852,215774,3474.4356,321173828.420108,1302.24912,120375727.134802,2172.18648,200798101.285947
binance,BTC-USDT,BTC,USDT,2025-01-09 14:00:00,91986.42,92900.0,91800.0,92863.8,380944,184935,196009,2363.05968,218141843.633557,1145.48351,105769065.371554,1217.57617,112372778.262033
binance,BTC-USDT,BTC,USDT,2025-01-09 15:00:00,92863.8,94588.23,92671.67,94244.02,359997,189275,170722,2560.47367,239785180.559741,1375.57555,128816189.26902,1184.89812,110968991.290925
binance,BTC-USDT,BTC,USDT,2025-01-09 16:00:00,94244.02,94685.25,93846.15,94250.95,261000,117884,143116,1597.06769,150497239.269277,678.57312,63932030.6180243,918.49457,86565208.6512053
binance,BTC-USDT,BTC,USDT,2025-01-09 17:00:00,94250.95,94293.96,92325.0,92693.11,388060,170780,217280,1927.98124,179597879.17236,804.3276,74920133.7854055,1123.65364,104677745.387472
binance,BTC-USDT,BTC,USDT,2025-01-09 18:00:00,92693.11,93239.51,92403.77,93020.11,397681,201776,195905,1440.41777,133677765.106523,676.54763,62794483.6067802,763.87014,70883281.499909
binance,BTC-USDT,BTC,USDT,2025-01-09 19:00:00,93020.11,93291.96,91900.01,91909.59,341483,184399,157084,1659.19728,153448589.591888,674.34625,62390618.9564685,984.85103,91057970.6350701
binance,BTC-USDT,BTC,USDT,2025-01-09 20:00:00,91909.59,92371.32,91203.67,91903.22,541896,277675,264221,2948.09971,270223788.158621,1226.27567,112435264.931103,1721.82404,157788523.229187
binance,BTC-USDT,BTC,USDT,2025-01-09 21:00:00,91903.22,92497.66,91781.09,92108.84,334099,179740,154359,1113.80054,102637604.897312,550.91053,50775705.238697,562.89001,51861899.6586333
binance,BTC-USDT,BTC,USDT,2025-01-09 22:00:00,92108.84,92720.67,91624.0,92456.32,274664,144095,130569,1126.88174,103865956.132206,468.2593,43180334.1025119,658.62244,60685622.0296985
binance,BTC-USDT,BTC,USDT,2025-01-09 23:00:00,92456.32,92689.38,92034.55,92552.49,251957,131118,120839,804.64841,74325337.7249442,385.02487,35562032.5795359,419.62354,38763305.1454083
binance,BTC-USDT,BTC,USDT,2025-01-10 00:00:00,92552.49,92850.0,92431.73,92775.84,233406,123627,109779,765.60662,70921294.4118974,371.29359,34396764.951154,394.31303,36524529.4607434
binance,BTC-USDT,BTC,USDT,2025-01-10 01:00:00,92775.84,93159.16,92590.33,93102.52,228784,115012,113772,646.50474,60043250.6119784,324.25144,30117337.0952505,322.2533,29925913.5167279
binance,BTC-USDT,BTC,USDT,2025-01-10 02:00:00,93102.52,93726.87,93033.5,93364.36,229796,127239,102557,910.05796,84980683.3304319,475.16771,44365725.7866373,434.89025,40614957.5437946
binance,BTC-USDT,BTC,USDT,2025-01-10 03:00:00,93364.36,93727.83,93312.58,93696.13,156388,85849,70539,605.87134,56667759.4383527,287.30029,26871776.5951249,318.57105,29795982.8432278
binance,BTC-USDT,BTC,USDT,2025-01-10 04:00:00,93696.13,93908.85,93500.0,93837.69,150547,78466,72081,539.73949,50581868.2736641,266.60876,24988424.5535977,273.13073,25593443.7200664
binance,BTC-USDT,BTC,USDT,2025-01-10 05:00:00,93837.69,94250.07,93642.85,93956.83,184298,93459,90839,803.65233,75501979.7276667,379.09865,35630202.9674841,424.55368,39871776.7601826
binance,BTC-USDT,BTC,USDT,2025-01-10 06:00:00,93956.83,94319.0,93733.83,94252.83,163143,73375,89768,883.82544,83096732.1957059,476.30705,44787237.3244507,407.51839,38309494.8712552
