instrument,time,open,high,low,close,volume,quote_volume
BTC-USDT,2025-02-17 01:00:00,96319.22,96533.52,96060.5,96513.08,411.07370510000004,39594404.54772946
BTC-USDT,2025-02-17 02:00:00,96508.63,96640.83,96156.55,96236.25,414.60946965,39967094.932927586
BTC-USDT,2025-02-17 03:00:00,96228.98,96280.0,96032.99,96215.17,488.37470776000004,46964498.04055071
BTC-USDT,2025-02-17 04:00:00,96215.33,96272.05,96008.97,96029.84,490.06123163999996,47094809.79652597
BTC-USDT,2025-02-17 05:00:00,96026.01,96328.14,95789.06,96260.15,918.57070929,88261194.5093165
BTC-USDT,2025-02-17 06:00:00,96242.66,96448.72,96208.0,96362.34,517.68149022,49877620.04736922
BTC-USDT,2025-02-17 07:00:00,96376.77,96463.2,95900.94,96086.9,816.37971389,78451576.09706725
BTC-USDT,2025-02-17 08:00:00,96068.22,96299.76,95937.05,96150.24,553.36733357,53185620.493696
BTC-USDT,2025-02-17 09:00:00,96144.03,96327.83,96076.92,96193.59,369.56138740999995,35554575.28423465
BTC-USDT,2025-02-17 10:00:00,96166.26,96402.45,96050.0,96131.34,527.95212251,50810190.88964569
BTC-USDT,2025-02-17 11:00:00,96106.17,96300.0,95990.0,96057.51,845.07100856,81217680.23118974
BTC-USDT,2025-02-17 12:00:00,96063.18,96513.09,96057.51,96463.7,729.57085625,70255937.90490557
BTC-USDT,2025-02-17 13:00:00,96457.76,96482.35,96253.9,96385.57,374.14214824,36053382.92474082
BTC-USDT,2025-02-17 14:00:00,96411.95,97046.59,96385.57,96706.64,1638.22398276,158554568.8187647
BTC-USDT,2025-02-17 15:00:00,96799.99,96898.9,95558.65,95671.42,1725.3367792499998,165831735.0487639
BTC-USDT,2025-02-17 16:00:00,95659.46,95946.65,95303.21,95333.84,1666.84086656,159298639.50609988
BTC-USDT,2025-02-17 17:00:00,95334.75,95728.63,95275.95,95478.33,730.09977261,69728577.66076082
BTC-USDT,2025-02-17 18:00:00,95479.78,95770.86,95244.59,95338.81,634.99727835,60598722.866638206
BTC-USDT,2025-02-17 19:00:00,95340.83,95604.56,95203.34,95542.77,492.89320591,47007774.86387813
BTC-USDT,2025-02-17 20:00:00,95531.36,96271.69,95488.9,96034.17,580.0380929600001,55634922.620835856
BTC-USDT,2025-02-17 21:00:00,95971.36,96424.84,95917.51,96418.15,476.41854656,45803875.49193123
BTC-USDT,2025-02-17 22:00:00,96409.33,96418.15,95829.63,95859.86,355.95961669,34203984.51800202
BTC-USDT,2025-02-17 23:00:00,95875.48,96021.32,95673.02,95778.38,320.75084659,30736580.632532984
BTC-USDT,2025-02-18 00:00:00,95780.0,96058.62,95538.01,95558.32,523.1311022,50092754.5768977
BTC-USDT,2025-02-18 01:00:00,95637.93,96300.0,95558.32,96260.7,467.45325812,44889540.35285989
BTC-USDT,2025-02-18 02:00:00,96266.24,96322.97,96015.0,96064.16,340.90147498,32785617.046922524
BTC-USDT,2025-02-18 03:00:00,96064.47,96301.47,95998.99,96194.55,282.10725802999997,27138851.616547223
BTC-USDT,2025-02-18 04:00:00,96200.0,96300.73,95962.05,96077.95,361.67464089000003,34788596.17407962
BTC-USDT,2025-02-18 05:00:00,96070.81,96110.63,95539.14,95605.76,612.47609982,58663016.22161416
